Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,No,Travel_Rarely,806,Research & Development,7,4,Life Sciences,1,1,4,Female,76,1,2,Healthcare Representative,2,Married,3968,2829,0,Y,No,23,3,2,80,3,2,5,1,27,4,4,8
23,No,Travel_Rarely,344,Human Resources,8,3,Life Sciences,1,2,4,Male,59,1,1,Human Resources,4,Divorced,19620,12945,2,Y,No,23,4,4,80,3,1,5,3,16,16,11,6
30,No,Travel_Rarely,701,Research & Development,28,4,Human Resources,1,3,3,Female,45,2,3,Healthcare Representative,3,Married,2402,16500,9,Y,No,25,3,2,80,3,2,3,1,17,13,9,14
40,No,Travel_Frequently,604,Research & Development,13,1,Life Sciences,1,4,4,Male,88,1,2,Healthcare Representative,1,Single,19416,17022,7,Y,No,23,3,4,80,3,19,1,3,10,5,9,16
26,No,Travel_Frequently,705,Sales,11,1,Technical Degree,1,5,3,Female,76,1,4,Sales Representative,4,Single,14034,18926,4,Y,No,24,3,3,80,1,8,5,4,24,13,12,13
34,No,Travel_Rarely,404,Sales,9,4,Other,1,6,2,Male,59,1,4,Sales Executive,1,Married,7073,9628,3,Y,No,18,3,2,80,3,3,4,2,29,11,14,13
19,Yes,Travel_Rarely,336,Sales,25,1,Technical Degree,1,7,2,Female,38,1,1,Sales Executive,4,Divorced,7648,3929,5,Y,No,21,3,3,80,3,24,1,1,24,0,1,8
36,No,Travel_Rarely,1163,Research & Development,24,2,Human Resources,1,8,4,Male,94,3,3,Manufacturing Director,3,Divorced,3487,6809,4,Y,Yes,21,3,3,80,0,0,6,2,6,4,11,15
36,No,Travel_Rarely,240,Research & Development,16,4,Medical,1,9,2,Female,88,4,4,Research Director,4,Married,8938,2707,2,Y,No,13,3,1,80,2,38,6,2,36,17,5,1
24,No,Travel_Rarely,296,Research & Development,10,1,Technical Degree,1,10,2,Male,93,4,5,Manufacturing Director,4,Single,10182,24712,4,Y,No,20,3,3,80,3,11,4,4,26,13,11,13
59,No,Travel_Rarely,748,Sales,11,1,Other,1,11,2,Male,37,3,2,Sales Representative,2,Divorced,12424,24106,3,Y,No,22,3,3,80,0,39,0,2,25,6,14,3
59,No,Travel_Frequently,102,Human Resources,12,4,Marketing,1,12,1,Female,81,1,5,Human Resources,1,Married,9427,2970,0,Y,No,24,3,3,80,1,39,5,3,12,14,5,2
37,No,Travel_Rarely,662,Research & Development,28,2,Other,1,13,2,Male,47,4,4,Laboratory Technician,3,Divorced,18659,12861,0,Y,No,16,3,3,80,0,23,4,2,23,8,11,2
26,Yes,Travel_Rarely,1221,Sales,14,4,Technical Degree,1,14,1,Female,87,4,4,Sales Representative,4,Single,3066,11419,6,Y,No,15,3,1,80,3,8,4,2,11,14,7,10
34,No,Travel_Rarely,814,Sales,19,1,Marketing,1,15,3,Female,78,4,1,Sales Executive,1,Divorced,14712,2765,3,Y,Yes,18,3,1,80,0,19,0,2,13,15,14,4
44,No,Travel_Rarely,514,Sales,12,4,Human Resources,1,16,3,Male,61,2,1,Sales Executive,1,Married,15392,3724,0,Y,No,19,3,3,80,0,4,6,1,8,8,11,15
19,No,Non-Travel,639,Sales,18,1,Other,1,17,3,Male,77,3,2,Sales Representative,2,Divorced,14944,25917,5,Y,No,21,3,2,80,1,19,1,1,30,6,0,8
53,No,Non-Travel,530,Research & Development,21,3,Medical,1,18,3,Male,74,2,1,Manufacturing Director,1,Divorced,11452,2454,0,Y,Yes,17,3,4,80,0,20,4,3,3,6,6,10
36,No,Non-Travel,336,Research & Development,17,4,Marketing,1,19,3,Female,83,2,3,Research Scientist,3,Single,3950,16807,7,Y,Yes,16,3,2,80,1,1,5,3,18,16,11,11
34,No,Travel_Rarely,450,Sales,3,4,Marketing,1,20,2,Male,75,3,2,Sales Executive,2,Single,1165,25851,8,Y,Yes,16,3,3,80,1,20,1,1,0,10,14,7
22,Yes,Travel_Rarely,497,Research & Development,1,1,Other,1,21,2,Male,60,4,3,Manufacturing Director,4,Single,13264,12678,2,Y,No,11,3,1,80,0,23,1,3,28,5,6,13
56,No,Non-Travel,1476,Sales,29,1,Technical Degree,1,22,2,Female,66,2,1,Sales Executive,3,Single,18153,5995,6,Y,No,15,3,3,80,3,8,3,1,5,13,8,16
35,No,Travel_Rarely,517,Sales,19,1,Marketing,1,23,3,Male,45,4,2,Sales Representative,3,Married,9974,19275,4,Y,No,24,3,3,80,2,38,6,4,0,14,3,14
24,No,Travel_Rarely,1017,Research & Development,29,1,Human Resources,1,24,3,Female,75,2,4,Laboratory Technician,3,Divorced,18350,20261,2,Y,No,18,3,1,80,0,29,5,2,24,7,14,14
